Season,Match,Innings,Team,Batting_Order,Player,Player_Clean,How_Out,Runs,Balls,4s,6s,Strike_Rate,Pct_Team_Runs,Team_Runs,Team_SR,Match_Runs,Match_SR,Batting_Impact
2008,Match_1,1,Kolkata Knight Riders,1,Sourav Ganguly*,Sourav Ganguly,c  Kallis b  Khan,10.0,12.0,2.0,0.0,83.33,4.50%,222.0,185.0,222.0,185.0,0.4462
2008,Match_1,1,Kolkata Knight Riders,2,Brendon McCullum,Brendon McCullum,not out,158.0,73.0,10.0,13.0,216.44,71.17%,222.0,185.0,222.0,185.0,35.265
2008,Match_1,1,Kolkata Knight Riders,3,Ricky Ponting,Ricky Ponting,c  Kumar b  Kallis,20.0,20.0,1.0,1.0,100.0,9.01%,222.0,185.0,222.0,185.0,1.0508
2008,Match_1,1,Kolkata Knight Riders,4,David Hussey,David Hussey,c  White b  Noffke,12.0,12.0,1.0,0.0,100.0,5.41%,222.0,185.0,222.0,185.0,0.6381
2008,Match_1,1,Kolkata Knight Riders,5,Mohammad Hafeez,Mohammad Hafeez,not out,5.0,3.0,1.0,0.0,166.67,2.25%,222.0,185.0,222.0,185.0,0.4606
2008,Match_1,2,Royal Challengers Bengaluru,1,Rahul Dravid*,Rahul Dravid,b  Sharma,2.0,3.0,0.0,0.0,66.67,2.44%,222.0,185.0,222.0,185.0,0.0817
2008,Match_1,2,Royal Challengers Bengaluru,2,Wasim Jaffer,Wasim Jaffer,c  Ponting b  Dinda,6.0,16.0,0.0,0.0,37.5,7.32%,222.0,185.0,222.0,185.0,0.1243
2008,Match_1,2,Royal Challengers Bengaluru,3,Virat Kohli,Virat Kohli,b  Dinda,1.0,5.0,0.0,0.0,20.0,1.22%,222.0,185.0,222.0,185.0,0.0144
2008,Match_1,2,Royal Challengers Bengaluru,4,Jacques Kallis,Jacques Kallis,c  Kartik b  Agarkar,8.0,7.0,0.0,1.0,114.29,9.76%,222.0,185.0,222.0,185.0,0.4931
2008,Match_1,2,Royal Challengers Bengaluru,5,Cameron White,Cameron White,c †Saha b  Agarkar,6.0,10.0,0.0,0.0,60.0,7.32%,222.0,185.0,222.0,185.0,0.1978
2008,Match_1,2,Royal Challengers Bengaluru,6,Mark Boucher†,Mark Boucher,c  Kartik b  Ganguly,7.0,9.0,1.0,0.0,77.78,8.54%,222.0,185.0,222.0,185.0,0.2961
2008,Match_1,2,Royal Challengers Bengaluru,7,Balachandra Akhil,Balachandra Akhil,c  Ponting b  Agarkar,0.0,2.0,0.0,0.0,0.0,,222.0,185.0,222.0,185.0,0.0001
2008,Match_1,2,Royal Challengers Bengaluru,8,Ashley Noffke,Ashley Noffke,run out,9.0,10.0,1.0,0.0,90.0,10.98%,222.0,185.0,222.0,185.0,0.4352
2008,Match_1,2,Royal Challengers Bengaluru,9,Praveen Kumar,Praveen Kumar,not out,18.0,15.0,1.0,2.0,120.0,21.95%,222.0,185.0,222.0,185.0,1.1361
2008,Match_1,2,Royal Challengers Bengaluru,10,Zaheer Khan,Zaheer Khan,b  Ganguly,3.0,8.0,0.0,0.0,37.5,3.66%,222.0,185.0,222.0,185.0,0.0657
2008,Match_1,2,Royal Challengers Bengaluru,11,Sunil Joshi,Sunil Joshi,c  McCullum b  Shukla,3.0,6.0,0.0,0.0,50.0,3.66%,222.0,185.0,222.0,185.0,0.0873
