Season,Match,Innings,Team,Batting_Order,Player,Player_Clean,How_Out,Runs,Balls,4s,6s,Strike_Rate,Pct_Team_Runs,Team_Runs,Team_SR,Match_Runs,Match_SR,Batting_Impact,Pos_Individual,Pos_Tactical,Baseline_Impact_Ind,IVORP_Individual,Pct_Above_Rep_Ind,Baseline_Impact_Tact,IVORP_Tactical,Pct_Above_Rep_Tact
2008,Match_1,1,Kolkata Knight Riders,1,Sourav Ganguly*,Sourav Ganguly,c  Kallis b  Khan,10.0,12.0,2.0,0.0,83.33,4.50%,222.0,185.0,222.0,185.0,0.4462,Opener,Top Order,1.0538,-0.6076,-57.7,1.0716,-0.6254,-58.4
2008,Match_1,1,Kolkata Knight Riders,2,Brendon McCullum,Brendon McCullum,not out,158.0,73.0,10.0,13.0,216.44,71.17%,222.0,185.0,222.0,185.0,35.265,Opener,Top Order,1.0538,34.2112,3246.5,1.0716,34.1934,3190.9
2008,Match_1,1,Kolkata Knight Riders,3,Ricky Ponting,Ricky Ponting,c  Kumar b  Kallis,20.0,20.0,1.0,1.0,100.0,9.01%,222.0,185.0,222.0,185.0,1.0508,Number 3,Top Order,1.3749,-0.3241,-23.6,1.0716,-0.0208,-1.9
2008,Match_1,1,Kolkata Knight Riders,4,David Hussey,David Hussey,c  White b  Noffke,12.0,12.0,1.0,0.0,100.0,5.41%,222.0,185.0,222.0,185.0,0.6381,Number 4,Middle Order,1.5885,-0.9504,-59.8,1.6777,-1.0396,-62.0
2008,Match_1,1,Kolkata Knight Riders,5,Mohammad Hafeez,Mohammad Hafeez,not out,5.0,3.0,1.0,0.0,166.67,2.25%,222.0,185.0,222.0,185.0,0.4606,Number 5,Middle Order,1.6028,-1.1422,-71.3,1.6777,-1.2171,-72.5
2008,Match_1,2,Royal Challengers Bengaluru,1,Rahul Dravid*,Rahul Dravid,b  Sharma,2.0,3.0,0.0,0.0,66.67,2.44%,222.0,185.0,222.0,185.0,0.0817,Opener,Top Order,1.0538,-0.9721,-92.2,1.0716,-0.9899,-92.4
2008,Match_1,2,Royal Challengers Bengaluru,2,Wasim Jaffer,Wasim Jaffer,c  Ponting b  Dinda,6.0,16.0,0.0,0.0,37.5,7.32%,222.0,185.0,222.0,185.0,0.1243,Opener,Top Order,1.0538,-0.9295,-88.2,1.0716,-0.9473,-88.4
2008,Match_1,2,Royal Challengers Bengaluru,3,Virat Kohli,Virat Kohli,b  Dinda,1.0,5.0,0.0,0.0,20.0,1.22%,222.0,185.0,222.0,185.0,0.0144,Number 3,Top Order,1.3749,-1.3605,-99.0,1.0716,-1.0572,-98.7
2008,Match_1,2,Royal Challengers Bengaluru,4,Jacques Kallis,Jacques Kallis,c  Kartik b  Agarkar,8.0,7.0,0.0,1.0,114.29,9.76%,222.0,185.0,222.0,185.0,0.4931,Number 4,Middle Order,1.5885,-1.0954,-69.0,1.6777,-1.1846,-70.6
2008,Match_1,2,Royal Challengers Bengaluru,5,Cameron White,Cameron White,c †Saha b  Agarkar,6.0,10.0,0.0,0.0,60.0,7.32%,222.0,185.0,222.0,185.0,0.1978,Number 5,Middle Order,1.6028,-1.405,-87.7,1.6777,-1.4799,-88.2
2008,Match_1,2,Royal Challengers Bengaluru,6,Mark Boucher†,Mark Boucher,c  Kartik b  Ganguly,7.0,9.0,1.0,0.0,77.78,8.54%,222.0,185.0,222.0,185.0,0.2961,Number 6,Finisher,0.6292,-0.3331,-52.9,0.8085,-0.5124,-63.4
2008,Match_1,2,Royal Challengers Bengaluru,7,Balachandra Akhil,Balachandra Akhil,c  Ponting b  Agarkar,0.0,2.0,0.0,0.0,0.0,,222.0,185.0,222.0,185.0,0.0001,Number 7,Finisher,1.2143,-1.2142,-100.0,0.8085,-0.8084,-100.0
2008,Match_1,2,Royal Challengers Bengaluru,8,Ashley Noffke,Ashley Noffke,run out,9.0,10.0,1.0,0.0,90.0,10.98%,222.0,185.0,222.0,185.0,0.4352,Number 8+,Lower Order,0.1878,0.2474,131.7,0.1878,0.2474,131.7
2008,Match_1,2,Royal Challengers Bengaluru,9,Praveen Kumar,Praveen Kumar,not out,18.0,15.0,1.0,2.0,120.0,21.95%,222.0,185.0,222.0,185.0,1.1361,Number 8+,Lower Order,0.1878,0.9483,505.0,0.1878,0.9483,505.0
2008,Match_1,2,Royal Challengers Bengaluru,10,Zaheer Khan,Zaheer Khan,b  Ganguly,3.0,8.0,0.0,0.0,37.5,3.66%,222.0,185.0,222.0,185.0,0.0657,Number 8+,Lower Order,0.1878,-0.1221,-65.0,0.1878,-0.1221,-65.0
2008,Match_1,2,Royal Challengers Bengaluru,11,Sunil Joshi,Sunil Joshi,c  McCullum b  Shukla,3.0,6.0,0.0,0.0,50.0,3.66%,222.0,185.0,222.0,185.0,0.0873,Number 8+,Lower Order,0.1878,-0.1005,-53.5,0.1878,-0.1005,-53.5
2008,Match_2,1,Chennai Super Kings,1,Parthiv Patel,Parthiv Patel,c †Sangakkara b  Lee,15.0,10.0,3.0,0.0,150.0,6.25%,240.0,200.0,447.0,186.25,0.6817,Opener,Top Order,1.0538,-0.3721,-35.3,1.0716,-0.3899,-36.4
2008,Match_2,1,Chennai Super Kings,2,Matthew Hayden,Matthew Hayden,b  Pathan,25.0,17.0,4.0,1.0,147.06,10.42%,240.0,200.0,447.0,186.25,1.1541,Opener,Top Order,1.0538,0.1003,9.5,1.0716,0.0825,7.7
2008,Match_2,1,Chennai Super Kings,3,Michael Hussey,Michael Hussey,not out,116.0,54.0,8.0,9.0,214.81,48.33%,240.0,200.0,447.0,186.25,10.1677,Number 3,Top Order,1.3749,8.7928,639.5,1.0716,9.0961,848.8
2008,Match_2,1,Chennai Super Kings,4,M S Dhoni*†,M S Dhoni,lbw b  Hopes,2.0,3.0,0.0,0.0,66.67,0.83%,240.0,200.0,447.0,186.25,0.0008,Number 4,Middle Order,1.5885,-1.5877,-99.9,1.6777,-1.6769,-100.0
2008,Match_2,1,Chennai Super Kings,5,Suresh Raina,Suresh Raina,c  Pathan b  Mota,32.0,13.0,2.0,3.0,246.15,13.33%,240.0,200.0,447.0,186.25,3.2486,Number 5,Middle Order,1.6028,1.6458,102.7,1.6777,1.5709,93.6
2008,Match_2,1,Chennai Super Kings,6,Jacob Oram,Jacob Oram,b  Pathan,13.0,10.0,0.0,1.0,130.0,5.42%,240.0,200.0,447.0,186.25,0.4476,Number 6,Finisher,0.6292,-0.1816,-28.9,0.8085,-0.3609,-44.6
2008,Match_2,1,Chennai Super Kings,7,Subramaniam Badrinath,Subramaniam Badrinath,not out,31.0,14.0,3.0,2.0,221.43,12.92%,240.0,200.0,447.0,186.25,2.7197,Number 7,Finisher,1.2143,1.5054,124.0,0.8085,1.9112,236.4
2008,Match_2,2,Kings XI Punjab,1,Karan Goel,Karan Goel,c  Patel b  Gony,24.0,19.0,2.0,1.0,126.32,11.59%,207.0,172.5,447.0,186.25,1.0028,Opener,Top Order,1.0538,-0.051,-4.8,1.0716,-0.0688,-6.4
2008,Match_2,2,Kings XI Punjab,2,James Hopes,James Hopes,c  Joginder Sharma b  Amarnath,71.0,33.0,10.0,3.0,215.15,34.30%,207.0,172.5,447.0,186.25,8.2861,Opener,Top Order,1.0538,7.2323,686.3,1.0716,7.2145,673.2
2008,Match_2,2,Kings XI Punjab,3,Kumar Sangakkara†,Kumar Sangakkara,c  Joginder Sharma b  Muralitharan,54.0,33.0,5.0,2.0,163.64,26.09%,207.0,172.5,447.0,186.25,3.6323,Number 3,Top Order,1.3749,2.2574,164.2,1.0716,2.5607,239.0
2008,Match_2,2,Kings XI Punjab,4,Yuvraj Singh*,Yuvraj Singh,c  Amarnath b  Joginder Sharma,23.0,13.0,1.0,2.0,176.92,11.11%,207.0,172.5,447.0,186.25,1.6711,Number 4,Middle Order,1.5885,0.0826,5.2,1.6777,-0.0066,-0.4
2008,Match_2,2,Kings XI Punjab,5,Simon Katich,Simon Katich,not out,21.0,17.0,0.0,1.0,123.53,10.14%,207.0,172.5,447.0,186.25,0.8329,Number 5,Middle Order,1.6028,-0.7699,-48.0,1.6777,-0.8448,-50.4
2008,Match_2,2,Kings XI Punjab,6,Irfan Pathan,Irfan Pathan,not out,3.0,5.0,0.0,0.0,60.0,1.45%,207.0,172.5,447.0,186.25,0.0016,Number 6,Finisher,0.6292,-0.6276,-99.7,0.8085,-0.8069,-99.8
2008,Match_3,1,Rajasthan Royals,1,Taruwar Kohli,Taruwar Kohli,c  Manhas b  McGrath,7.0,12.0,0.0,1.0,58.33,5.43%,129.0,107.5,261.0,123.7,0.0895,Opener,Top Order,1.0538,-0.9643,-91.5,1.0716,-0.9821,-91.6
2008,Match_3,1,Rajasthan Royals,2,Yusuf Pathan,Yusuf Pathan,run out,10.0,5.0,2.0,0.0,200.0,7.75%,129.0,107.5,261.0,123.7,1.3026,Opener,Top Order,1.0538,0.2488,23.6,1.0716,0.231,21.6
2008,Match_3,1,Rajasthan Royals,3,Shane Watson,Shane Watson,run out,21.0,15.0,2.0,0.0,140.0,16.28%,129.0,107.5,261.0,123.7,1.7751,Number 3,Top Order,1.3749,0.4002,29.1,1.0716,0.7035,65.6
2008,Match_3,1,Rajasthan Royals,4,Mohammad Kaif,Mohammad Kaif,c  Geeves b  Bhatia,9.0,19.0,0.0,0.0,47.37,6.98%,129.0,107.5,261.0,123.7,0.0379,Number 4,Middle Order,1.5885,-1.5506,-97.6,1.6777,-1.6398,-97.7
2008,Match_3,1,Rajasthan Royals,5,Darren Lehmann,Darren Lehmann,lbw b  Maharoof,1.0,2.0,0.0,0.0,50.0,0.78%,129.0,107.5,261.0,123.7,0.0012,Number 5,Middle Order,1.6028,-1.6016,-99.9,1.6777,-1.6765,-99.9
2008,Match_3,1,Rajasthan Royals,6,Ravindra Jadeja,Ravindra Jadeja,b  Vettori,29.0,23.0,2.0,2.0,126.09,22.48%,129.0,107.5,261.0,123.7,2.1263,Number 6,Finisher,0.6292,1.4971,237.9,0.8085,1.3178,163.0
2008,Match_3,1,Rajasthan Royals,7,Mahesh Rawat†,Mahesh Rawat,b  Bhatia,2.0,4.0,0.0,0.0,50.0,1.55%,129.0,107.5,261.0,123.7,0.0082,Number 7,Finisher,1.2143,-1.2061,-99.3,0.8085,-0.8003,-99.0
2008,Match_3,1,Rajasthan Royals,8,Dinesh Salunkhe,Dinesh Salunkhe,not out,26.0,20.0,4.0,0.0,130.0,20.16%,129.0,107.5,261.0,123.7,1.9885,Number 8+,Lower Order,0.1878,1.8007,958.8,0.1878,1.8007,958.8
2008,Match_3,1,Rajasthan Royals,9,Shane Warne*,Shane Warne,b  Maharoof,14.0,13.0,2.0,0.0,107.69,10.85%,129.0,107.5,261.0,123.7,0.7761,Number 8+,Lower Order,0.1878,0.5883,313.3,0.1878,0.5883,313.3
