Season,Match,Innings,Bowling_Team,Against_Team,Bowler,Bowler_Clean,Overs,Balls_Bowled,Maidens,Runs_Conceded,Wickets,Economy,Pct_Team_Wickets
2008,Match_1,1,Royal Challengers Bengaluru,Kolkata Knight Riders,Praveen Kumar,Praveen Kumar,4.0,24,0.0,38.0,0.0,9.5,
2008,Match_1,1,Royal Challengers Bengaluru,Kolkata Knight Riders,Zaheer Khan,Zaheer Khan,4.0,24,0.0,38.0,1.0,9.5,10.00
2008,Match_1,1,Royal Challengers Bengaluru,Kolkata Knight Riders,Ashley Noffke,Ashley Noffke,4.0,24,0.0,40.0,1.0,10.0,10.00
2008,Match_1,1,Royal Challengers Bengaluru,Kolkata Knight Riders,Jacques Kallis,Jacques Kallis,4.0,24,0.0,48.0,1.0,12.0,10.00
2008,Match_1,1,Royal Challengers Bengaluru,Kolkata Knight Riders,Sunil Joshi,Sunil Joshi,3.0,18,0.0,26.0,0.0,8.67,
2008,Match_1,1,Royal Challengers Bengaluru,Kolkata Knight Riders,Cameron White,Cameron White,1.0,6,0.0,24.0,0.0,24.0,
2008,Match_1,1,Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru(target 223 runs off 20.0 overs),Royal Challengers Bengaluru,,0,,,,,
2008,Match_1,2,Kolkata Knight Riders,Royal Challengers Bengaluru,Ashok Dinda,Ashok Dinda,3.0,18,0.0,9.0,2.0,3.0,20.00
2008,Match_1,2,Kolkata Knight Riders,Royal Challengers Bengaluru,Ishant Sharma,Ishant Sharma,3.0,18,0.0,7.0,1.0,2.33,10.00
2008,Match_1,2,Kolkata Knight Riders,Royal Challengers Bengaluru,Ajit Agarkar,Ajit Agarkar,4.0,24,0.0,25.0,3.0,6.25,30.00
2008,Match_1,2,Kolkata Knight Riders,Royal Challengers Bengaluru,Sourav Ganguly,Sourav Ganguly,4.0,24,0.0,21.0,2.0,5.25,20.00
2008,Match_1,2,Kolkata Knight Riders,Royal Challengers Bengaluru,Laxmi Shukla,Laxmi Shukla,1.1,7,0.0,12.0,1.0,10.29,10.00
2008,Match_2,1,Kings XI Punjab,Chennai Super Kings,Brett Lee,Brett Lee,4.0,24,0.0,35.0,1.0,8.75,10.00
2008,Match_2,1,Kings XI Punjab,Chennai Super Kings,Sreesanth,Sreesanth,3.0,18,0.0,35.0,0.0,11.67,
2008,Match_2,1,Kings XI Punjab,Chennai Super Kings,James Hopes,James Hopes,4.0,24,0.0,53.0,1.0,13.25,10.00
2008,Match_2,1,Kings XI Punjab,Chennai Super Kings,Irfan Pathan,Irfan Pathan,4.0,24,0.0,47.0,2.0,11.75,20.00
2008,Match_2,1,Kings XI Punjab,Chennai Super Kings,Karan Goel,Karan Goel,2.0,12,0.0,25.0,0.0,12.5,
2008,Match_2,1,Kings XI Punjab,Chennai Super Kings,Piyush Chawla,Piyush Chawla,1.0,6,0.0,19.0,0.0,19.0,
2008,Match_2,1,Kings XI Punjab,Chennai Super Kings,Wilkin Mota,Wilkin Mota,2.0,12,0.0,24.0,1.0,12.0,10.00
2008,Match_2,1,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab(target 241 runs off 20.0 overs),Kings XI Punjab,,0,,,,,
2008,Match_2,2,Chennai Super Kings,Kings XI Punjab,Jacob Oram,Jacob Oram,4.0,24,0.0,37.0,0.0,9.25,
2008,Match_2,2,Chennai Super Kings,Kings XI Punjab,Manpreet Gony,Manpreet Gony,4.0,24,0.0,42.0,1.0,10.5,10.00
2008,Match_2,2,Chennai Super Kings,Kings XI Punjab,Muttiah Muralitharan,Muttiah Muralitharan,4.0,24,0.0,33.0,1.0,8.25,10.00
2008,Match_2,2,Chennai Super Kings,Kings XI Punjab,Palani Amarnath,Palani Amarnath,4.0,24,0.0,42.0,1.0,10.5,10.00
2008,Match_2,2,Chennai Super Kings,Kings XI Punjab,Joginder Sharma,Joginder Sharma,4.0,24,0.0,47.0,1.0,11.75,10.00
2008,Match_3,1,Delhi Daredevils,Rajasthan Royals,Glenn McGrath,Glenn McGrath,4.0,24,1.0,21.0,1.0,5.25,10.00
2008,Match_3,1,Delhi Daredevils,Rajasthan Royals,Brett Geeves,Brett Geeves,4.0,24,0.0,41.0,0.0,10.25,
2008,Match_3,1,Delhi Daredevils,Rajasthan Royals,Farveez Maharoof,Farveez Maharoof,4.0,24,0.0,11.0,2.0,2.75,20.00
2008,Match_3,1,Delhi Daredevils,Rajasthan Royals,Rajat Bhatia,Rajat Bhatia,4.0,24,0.0,17.0,2.0,4.25,20.00
2008,Match_3,1,Delhi Daredevils,Rajasthan Royals,Daniel Vettori,Daniel Vettori,4.0,24,0.0,35.0,1.0,8.75,10.00
2008,Match_3,1,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils(target 130 runs off 20.0 overs),Delhi Daredevils,,0,,,,,
2008,Match_3,2,Rajasthan Royals,Delhi Daredevils,Munaf Patel,Munaf Patel,3.0,18,0.0,25.0,0.0,8.33,
2008,Match_3,2,Rajasthan Royals,Delhi Daredevils,Shane Watson,Shane Watson,4.0,24,0.0,31.0,1.0,7.75,10.00
2008,Match_3,2,Rajasthan Royals,Delhi Daredevils,Siddharth Trivedi,Siddharth Trivedi,3.0,18,0.0,32.0,0.0,10.67,
2008,Match_3,2,Rajasthan Royals,Delhi Daredevils,Shane Warne,Shane Warne,2.0,12,0.0,16.0,0.0,8.0,
2008,Match_3,2,Rajasthan Royals,Delhi Daredevils,Yusuf Pathan,Yusuf Pathan,2.1,13,0.0,17.0,0.0,7.85,
2008,Match_3,2,Rajasthan Royals,Delhi Daredevils,Dinesh Salunkhe,Dinesh Salunkhe,1.0,6,0.0,11.0,0.0,11.0,
2008,Match_4,1,Kolkata Knight Riders,Deccan Chargers,Ashok Dinda,Ashok Dinda,3.0,18,0.0,18.0,1.0,6.0,10.00
2008,Match_4,1,Kolkata Knight Riders,Deccan Chargers,Ishant Sharma,Ishant Sharma,3.0,18,1.0,9.0,1.0,3.0,10.00
2008,Match_4,1,Kolkata Knight Riders,Deccan Chargers,Ajit Agarkar,Ajit Agarkar,2.0,12,0.0,19.0,2.0,9.5,20.00
2008,Match_4,1,Kolkata Knight Riders,Deccan Chargers,Murali Kartik,Murali Kartik,3.4,22,0.0,17.0,3.0,4.64,30.00
2008,Match_4,1,Kolkata Knight Riders,Deccan Chargers,Mohammad Hafeez,Mohammad Hafeez,4.0,24,0.0,8.0,1.0,2.0,10.00
2008,Match_4,1,Kolkata Knight Riders,Deccan Chargers,David Hussey,David Hussey,3.0,18,0.0,35.0,1.0,11.67,10.00
2008,Match_4,1,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders(target 111 runs off 20.0 overs),Kolkata Knight Riders,,0,,,,,
2008,Match_4,2,Deccan Chargers,Kolkata Knight Riders,Chaminda Vaas,Chaminda Vaas,3.0,18,0.0,9.0,2.0,3.0,20.00
2008,Match_4,2,Deccan Chargers,Kolkata Knight Riders,R P Singh,R P Singh,3.0,18,0.0,15.0,1.0,5.0,10.00
2008,Match_4,2,Deccan Chargers,Kolkata Knight Riders,Scott Styris,Scott Styris,4.0,24,0.0,19.0,0.0,4.75,
2008,Match_4,2,Deccan Chargers,Kolkata Knight Riders,Sanjay Bangar,Sanjay Bangar,3.0,18,0.0,19.0,0.0,6.33,
2008,Match_4,2,Deccan Chargers,Kolkata Knight Riders,Andrew Symonds,Andrew Symonds,2.0,12,0.0,20.0,0.0,10.0,
2008,Match_4,2,Deccan Chargers,Kolkata Knight Riders,Pragyan Ojha,Pragyan Ojha,4.0,24,0.0,18.0,2.0,4.5,20.00
2008,Match_5,1,Royal Challengers Bengaluru,Mumbai Indians,Praveen Kumar,Praveen Kumar,4.0,24,0.0,29.0,1.0,7.25,10.00
2008,Match_5,1,Royal Challengers Bengaluru,Mumbai Indians,Zaheer Khan,Zaheer Khan,4.0,24,0.0,17.0,2.0,4.25,20.00
