Season,Match,Team_1,Team_2,Team_1_Runs,Team_1_Overs,Team_1_Balls,Team_1_RR,Team_2_Runs,Team_2_Overs,Team_2_Balls,Team_2_RR,Total_Match_Runs,Total_Match_Balls,Match_SR
2008,Match_1,Kolkata Knight Riders,Royal Challengers Bengaluru,222.0,20.0,120.0,11.1,,,,,222.0,120,185.0
2008,Match_2,Chennai Super Kings,Kings XI Punjab,240.0,20.0,120.0,12.0,207.0,20.0,120.0,10.35,447.0,240,186.25
2008,Match_3,Rajasthan Royals,Delhi Daredevils,129.0,20.0,120.0,6.45,132.0,15.1,91.0,8.7,261.0,211,123.7
2008,Match_4,Deccan Chargers,Kolkata Knight Riders,112.0,19.0,114.0,5.89,,,,,112.0,114,98.25
2008,Match_5,Mumbai Indians,Royal Challengers Bengaluru,165.0,20.0,120.0,8.25,166.0,19.4,118.0,8.44,331.0,238,139.08
2008,Match_6,Kings XI Punjab,Rajasthan Royals,166.0,20.0,120.0,8.3,168.0,18.1,109.0,9.25,334.0,229,145.85
2008,Match_7,Deccan Chargers,Delhi Daredevils,142.0,20.0,120.0,7.1,143.0,13.0,78.0,11.0,285.0,198,143.94
2008,Match_8,Chennai Super Kings,Mumbai Indians,208.0,20.0,120.0,10.4,202.0,20.0,120.0,10.1,410.0,240,170.83
2008,Match_9,Deccan Chargers,Rajasthan Royals,214.0,20.0,120.0,10.7,217.0,19.5,119.0,10.94,431.0,239,180.33
2008,Match_10,Kings XI Punjab,Mumbai Indians,116.0,20.0,120.0,5.8,,,,,116.0,120,96.67
2008,Match_11,Kolkata Knight Riders,Chennai Super Kings,147.0,20.0,120.0,7.35,152.0,17.0,102.0,8.94,299.0,222,134.68
2008,Match_12,Royal Challengers Bengaluru,Rajasthan Royals,135.0,20.0,120.0,6.75,138.0,17.1,103.0,8.04,273.0,223,122.42
2008,Match_13,Delhi Daredevils,Kings XI Punjab,158.0,20.0,120.0,7.9,162.0,19.3,117.0,8.31,320.0,237,135.02
2008,Match_14,Mumbai Indians,Deccan Chargers,154.0,20.0,120.0,7.7,155.0,12.0,72.0,12.92,309.0,192,160.94
2008,Match_15,Chennai Super Kings,Royal Challengers Bengaluru,178.0,20.0,120.0,8.9,,,,,178.0,120,148.33
2008,Match_16,Kolkata Knight Riders,Mumbai Indians,137.0,20.0,120.0,6.85,138.0,18.4,112.0,7.39,275.0,232,118.53
2008,Match_17,Delhi Daredevils,Royal Challengers Bengaluru,191.0,20.0,120.0,9.55,181.0,20.0,120.0,9.05,372.0,240,155.0
2008,Match_18,Rajasthan Royals,Kolkata Knight Riders,196.0,20.0,120.0,9.8,,,,,196.0,120,163.33
2008,Match_19,Deccan Chargers,Kings XI Punjab,164.0,20.0,120.0,8.2,167.0,18.5,113.0,8.87,331.0,233,142.06
2008,Match_20,Chennai Super Kings,Delhi Daredevils,169.0,20.0,120.0,8.45,172.0,19.0,114.0,9.05,341.0,234,145.73
2008,Match_21,Royal Challengers Bengaluru,Deccan Chargers,156.0,20.0,120.0,7.8,153.0,20.0,120.0,7.65,309.0,240,128.75
2008,Match_22,Kings XI Punjab,Kolkata Knight Riders,178.0,20.0,120.0,8.9,169.0,20.0,120.0,8.45,347.0,240,144.58
2008,Match_23,Mumbai Indians,Delhi Daredevils,162.0,20.0,120.0,8.1,,,,,162.0,120,135.0
2008,Match_24,Chennai Super Kings,Rajasthan Royals,110.0,14.2,86.0,7.67,,,,,110.0,86,127.91
2008,Match_25,Royal Challengers Bengaluru,Kings XI Punjab,127.0,18.2,110.0,6.93,,,,,127.0,110,115.45
2008,Match_26,Chennai Super Kings,Deccan Chargers,144.0,20.0,120.0,7.2,148.0,18.0,108.0,8.22,292.0,228,128.07
2008,Match_27,Rajasthan Royals,Mumbai Indians,104.0,15.1,91.0,6.86,,,,,104.0,91,114.29
2008,Match_28,Delhi Daredevils,Chennai Super Kings,187.0,20.0,120.0,9.35,188.0,20.0,120.0,9.4,375.0,240,156.25
2008,Match_29,Kolkata Knight Riders,Royal Challengers Bengaluru,129.0,16.0,96.0,8.06,124.0,16.0,96.0,7.75,253.0,192,131.77
2008,Match_30,Deccan Chargers,Rajasthan Royals,140.0,20.0,120.0,7.0,141.0,16.0,96.0,8.81,281.0,216,130.09
2008,Match_31,Chennai Super Kings,Kings XI Punjab,181.0,20.0,120.0,9.05,163.0,20.0,120.0,8.15,344.0,240,143.33
2008,Match_32,Kolkata Knight Riders,Deccan Chargers,204.0,20.0,120.0,10.2,181.0,20.0,120.0,9.05,385.0,240,160.42
2008,Match_33,Delhi Daredevils,Rajasthan Royals,156.0,20.0,120.0,7.8,159.0,19.1,115.0,8.3,315.0,235,134.04
2008,Match_34,Royal Challengers Bengaluru,Kings XI Punjab,143.0,20.0,120.0,7.15,144.0,15.4,94.0,9.19,287.0,214,134.11
2008,Match_35,Kolkata Knight Riders,Delhi Daredevils,133.0,20.0,120.0,6.65,,,,,133.0,120,110.83
2008,Match_36,Chennai Super Kings,Mumbai Indians,156.0,20.0,120.0,7.8,158.0,13.5,83.0,11.42,314.0,203,154.68
2008,Match_37,Delhi Daredevils,Deccan Chargers,194.0,20.0,120.0,9.7,182.0,20.0,120.0,9.1,376.0,240,156.67
2008,Match_38,Kolkata Knight Riders,Mumbai Indians,68.0,5.3,33.0,12.36,,,,,68.0,33,206.06
2008,Match_39,Rajasthan Royals,Royal Challengers Bengaluru,197.0,20.0,120.0,9.85,132.0,20.0,120.0,6.6,329.0,240,137.08
2008,Match_40,Delhi Daredevils,Kings XI Punjab,118.0,11.0,66.0,10.73,94.0,8.0,48.0,11.75,212.0,114,185.96
2008,Match_41,Kolkata Knight Riders,Chennai Super Kings,149.0,20.0,120.0,7.45,55.0,8.0,48.0,6.88,204.0,168,121.43
2008,Match_42,Mumbai Indians,Deccan Chargers,178.0,20.0,120.0,8.9,153.0,20.0,120.0,7.65,331.0,240,137.92
2008,Match_43,Royal Challengers Bengaluru,Delhi Daredevils,154.0,20.0,120.0,7.7,158.0,18.2,110.0,8.62,312.0,230,135.65
2008,Match_44,Kolkata Knight Riders,Rajasthan Royals,147.0,20.0,120.0,7.35,150.0,16.3,99.0,9.09,297.0,219,135.62
2008,Match_45,Kings XI Punjab,Mumbai Indians,189.0,20.0,120.0,9.45,,,,,189.0,120,157.5
2008,Match_46,Royal Challengers Bengaluru,Chennai Super Kings,126.0,20.0,120.0,6.3,112.0,20.0,120.0,5.6,238.0,240,99.17
2008,Match_48,Deccan Chargers,Kings XI Punjab,175.0,20.0,120.0,8.75,178.0,19.3,117.0,9.13,353.0,237,148.95
2008,Match_49,Rajasthan Royals,Chennai Super Kings,211.0,20.0,120.0,10.55,201.0,20.0,120.0,10.05,412.0,240,171.67
2008,Match_50,Mumbai Indians,Delhi Daredevils,176.0,20.0,120.0,8.8,179.0,19.5,119.0,9.03,355.0,239,148.54
2008,Match_51,Deccan Chargers,Royal Challengers Bengaluru,171.0,19.0,114.0,9.0,,,,,171.0,114,150.0
2008,Match_52,Kings XI Punjab,Kolkata Knight Riders,174.0,20.0,120.0,8.7,175.0,19.4,118.0,8.9,349.0,238,146.64
2008,Match_53,Mumbai Indians,Rajasthan Royals,145.0,20.0,120.0,7.25,146.0,20.0,120.0,7.3,291.0,240,121.25
2008,Match_54,Deccan Chargers,Chennai Super Kings,147.0,20.0,120.0,7.35,148.0,19.2,116.0,7.66,295.0,236,125.0
2008,Match_55,Royal Challengers Bengaluru,Mumbai Indians,122.0,18.0,108.0,6.78,126.0,16.0,96.0,7.88,248.0,204,121.57
2008,Match_56,Kings XI Punjab,Rajasthan Royals,221.0,20.0,120.0,11.05,180.0,20.0,120.0,9.0,401.0,240,167.08
2008,Match_57,Rajasthan Royals,Delhi Daredevils,192.0,20.0,120.0,9.6,,,,,192.0,120,160.0
2008,Match_58,Kings XI Punjab,Chennai Super Kings,112.0,20.0,120.0,5.6,116.0,14.5,89.0,7.82,228.0,209,109.09
2008,Match_59,Chennai Super Kings,Rajasthan Royals,163.0,20.0,120.0,8.15,164.0,20.0,120.0,8.2,327.0,240,136.25
2009,Match_60,Mumbai Indians,Chennai Super Kings,165.0,20.0,120.0,8.25,146.0,20.0,120.0,7.3,311.0,240,129.58
2009,Match_61,Royal Challengers Bengaluru,Rajasthan Royals,133.0,20.0,120.0,6.65,,,,,133.0,120,110.83
2009,Match_62,Kings XI Punjab,Delhi Daredevils,104.0,12.0,72.0,8.67,58.0,4.5,29.0,12.0,162.0,101,160.4
2009,Match_63,Kolkata Knight Riders,Deccan Chargers,104.0,13.1,79.0,7.9,,,,,104.0,79,131.65
2009,Match_64,Chennai Super Kings,Royal Challengers Bengaluru,179.0,20.0,120.0,8.95,,,,,179.0,120,149.17
2009,Match_65,Kings XI Punjab,Kolkata Knight Riders,158.0,20.0,120.0,7.9,79.0,9.2,56.0,8.46,237.0,176,134.66
2009,Match_67,Deccan Chargers,Royal Challengers Bengaluru,184.0,20.0,120.0,9.2,160.0,20.0,120.0,8.0,344.0,240,143.33
2009,Match_68,Delhi Daredevils,Chennai Super Kings,189.0,20.0,120.0,9.45,180.0,20.0,120.0,9.0,369.0,240,153.75
2009,Match_69,Rajasthan Royals,Kolkata Knight Riders,150.0,20.0,120.0,7.5,150.0,20.0,120.0,7.5,300.0,240,125.0
2009,Match_70,Royal Challengers Bengaluru,Kings XI Punjab,168.0,20.0,120.0,8.4,173.0,19.0,114.0,9.11,341.0,234,145.73
2009,Match_71,Deccan Chargers,Mumbai Indians,168.0,20.0,120.0,8.4,156.0,20.0,120.0,7.8,324.0,240,135.0
2009,Match_73,Royal Challengers Bengaluru,Delhi Daredevils,149.0,20.0,120.0,7.45,150.0,19.2,116.0,7.76,299.0,236,126.69
2009,Match_74,Kings XI Punjab,Rajasthan Royals,139.0,20.0,120.0,6.95,112.0,20.0,120.0,5.6,251.0,240,104.58
2009,Match_75,Chennai Super Kings,Deccan Chargers,165.0,20.0,120.0,8.25,169.0,19.3,117.0,8.67,334.0,237,140.93
2009,Match_76,Mumbai Indians,Kolkata Knight Riders,187.0,20.0,120.0,9.35,,,,,187.0,120,155.83
2009,Match_77,Delhi Daredevils,Rajasthan Royals,143.0,20.0,120.0,7.15,147.0,18.3,111.0,7.95,290.0,231,125.54
2009,Match_78,Kolkata Knight Riders,Royal Challengers Bengaluru,139.0,20.0,120.0,6.95,143.0,19.5,119.0,7.21,282.0,239,117.99
2009,Match_79,Kings XI Punjab,Mumbai Indians,119.0,20.0,120.0,5.95,116.0,20.0,120.0,5.8,235.0,240,97.92
2009,Match_80,Deccan Chargers,Delhi Daredevils,148.0,20.0,120.0,7.4,150.0,18.4,112.0,8.04,298.0,232,128.45
2009,Match_81,Chennai Super Kings,Rajasthan Royals,164.0,20.0,120.0,8.2,,,,,164.0,120,136.67
2009,Match_82,Mumbai Indians,Kolkata Knight Riders,148.0,20.0,120.0,7.4,139.0,20.0,120.0,6.95,287.0,240,119.58
2009,Match_83,Royal Challengers Bengaluru,Kings XI Punjab,145.0,20.0,120.0,7.25,137.0,20.0,120.0,6.85,282.0,240,117.5
2009,Match_84,Deccan Chargers,Rajasthan Royals,141.0,20.0,120.0,7.05,142.0,19.4,118.0,7.22,283.0,238,118.91
2009,Match_85,Chennai Super Kings,Delhi Daredevils,145.0,20.0,120.0,7.25,,,,,145.0,120,120.83
2009,Match_86,Kolkata Knight Riders,Kings XI Punjab,153.0,20.0,120.0,7.65,154.0,20.0,120.0,7.7,307.0,240,127.92
2009,Match_87,Mumbai Indians,Royal Challengers Bengaluru,149.0,20.0,120.0,7.45,150.0,18.1,109.0,8.26,299.0,229,130.57
2009,Match_88,Chennai Super Kings,Deccan Chargers,178.0,20.0,120.0,8.9,,,,,178.0,120,148.33
2009,Match_89,Rajasthan Royals,Kings XI Punjab,211.0,20.0,120.0,10.55,133.0,20.0,120.0,6.65,344.0,240,143.33
2009,Match_90,Kolkata Knight Riders,Delhi Daredevils,154.0,20.0,120.0,7.7,157.0,19.0,114.0,8.26,311.0,234,132.91
2009,Match_91,Deccan Chargers,Mumbai Indians,145.0,20.0,120.0,7.25,126.0,20.0,120.0,6.3,271.0,240,112.92
2009,Match_92,Royal Challengers Bengaluru,Rajasthan Royals,107.0,15.0,90.0,7.13,,,,,107.0,90,118.89
2009,Match_93,Chennai Super Kings,Kings XI Punjab,185.0,18.0,108.0,10.28,174.0,18.0,108.0,9.67,359.0,216,166.2
2009,Match_94,Mumbai Indians,Delhi Daredevils,118.0,18.5,113.0,6.27,,,,,118.0,113,104.42
2009,Match_95,Deccan Chargers,Kings XI Punjab,168.0,20.0,120.0,8.4,169.0,19.5,119.0,8.52,337.0,239,141.0
2009,Match_96,Rajasthan Royals,Chennai Super Kings,140.0,20.0,120.0,7.0,141.0,18.2,110.0,7.69,281.0,230,122.17
2009,Match_97,Mumbai Indians,Royal Challengers Bengaluru,157.0,20.0,120.0,7.85,141.0,20.0,120.0,7.05,298.0,240,124.17
2009,Match_98,Kolkata Knight Riders,Delhi Daredevils,123.0,20.0,120.0,6.15,125.0,17.1,103.0,7.28,248.0,223,111.21
2009,Match_99,Deccan Chargers,Rajasthan Royals,166.0,20.0,120.0,8.3,,,,,166.0,120,138.33
2009,Match_100,Kolkata Knight Riders,Royal Challengers Bengaluru,173.0,20.0,120.0,8.65,176.0,19.2,116.0,9.1,349.0,236,147.88
2009,Match_101,Kings XI Punjab,Mumbai Indians,119.0,20.0,120.0,5.95,122.0,16.2,98.0,7.47,241.0,218,110.55
2009,Match_102,Delhi Daredevils,Deccan Chargers,173.0,20.0,120.0,8.65,,,,,173.0,120,144.17
2009,Match_103,Chennai Super Kings,Royal Challengers Bengaluru,132.0,19.4,118.0,6.71,,,,,132.0,118,111.86
2009,Match_104,Rajasthan Royals,Mumbai Indians,145.0,20.0,120.0,7.25,,,,,145.0,120,120.83
2009,Match_105,Delhi Daredevils,Kings XI Punjab,120.0,20.0,120.0,6.0,123.0,19.1,115.0,6.42,243.0,235,103.4
2009,Match_106,Mumbai Indians,Chennai Super Kings,147.0,20.0,120.0,7.35,151.0,19.1,115.0,7.88,298.0,235,126.81
2009,Match_107,Kolkata Knight Riders,Deccan Chargers,160.0,20.0,120.0,8.0,166.0,20.0,120.0,8.3,326.0,240,135.83
2009,Match_108,Kings XI Punjab,Deccan Chargers,134.0,20.0,120.0,6.7,133.0,20.0,120.0,6.65,267.0,240,111.25
2009,Match_109,Delhi Daredevils,Rajasthan Royals,150.0,20.0,120.0,7.5,136.0,20.0,120.0,6.8,286.0,240,119.17
2009,Match_110,Chennai Super Kings,Kolkata Knight Riders,188.0,20.0,120.0,9.4,189.0,20.0,120.0,9.45,377.0,240,157.08
2009,Match_111,Delhi Daredevils,Royal Challengers Bengaluru,134.0,20.0,120.0,6.7,135.0,19.0,114.0,7.11,269.0,234,114.96
2009,Match_112,Rajasthan Royals,Kolkata Knight Riders,101.0,20.0,120.0,5.05,102.0,19.3,117.0,5.23,203.0,237,85.65
2009,Match_113,Chennai Super Kings,Kings XI Punjab,116.0,20.0,120.0,5.8,92.0,20.0,120.0,4.6,208.0,240,86.67
2009,Match_114,Mumbai Indians,Delhi Daredevils,165.0,20.0,120.0,8.25,166.0,17.3,105.0,9.49,331.0,225,147.11
2009,Match_115,Royal Challengers Bengaluru,Deccan Chargers,170.0,20.0,120.0,8.5,158.0,20.0,120.0,7.9,328.0,240,136.67
2009,Match_116,Delhi Daredevils,Deccan Chargers,153.0,20.0,120.0,7.65,154.0,17.4,106.0,8.72,307.0,226,135.84
2009,Match_117,Chennai Super Kings,Royal Challengers Bengaluru,146.0,20.0,120.0,7.3,149.0,18.5,113.0,7.91,295.0,233,126.61
2009,Match_118,Deccan Chargers,Royal Challengers Bengaluru,143.0,20.0,120.0,7.15,137.0,20.0,120.0,6.85,280.0,240,116.67
2010,Match_119,Kolkata Knight Riders,Deccan Chargers,161.0,20.0,120.0,8.05,150.0,20.0,120.0,7.5,311.0,240,129.58
2010,Match_120,Mumbai Indians,Rajasthan Royals,212.0,20.0,120.0,10.6,208.0,20.0,120.0,10.4,420.0,240,175.0
2010,Match_121,Kings XI Punjab,Delhi Daredevils,142.0,20.0,120.0,7.1,146.0,19.5,119.0,7.36,288.0,239,120.5
2010,Match_122,Royal Challengers Bengaluru,Kolkata Knight Riders,135.0,20.0,120.0,6.75,136.0,19.2,116.0,7.03,271.0,236,114.83
2010,Match_123,Deccan Chargers,Chennai Super Kings,190.0,20.0,120.0,9.5,159.0,20.0,120.0,7.95,349.0,240,145.42
2010,Match_124,Rajasthan Royals,Delhi Daredevils,141.0,20.0,120.0,7.05,142.0,17.1,103.0,8.27,283.0,223,126.91
2010,Match_125,Kings XI Punjab,Royal Challengers Bengaluru,203.0,20.0,120.0,10.15,204.0,18.5,113.0,10.83,407.0,233,174.68
2010,Match_126,Chennai Super Kings,Kolkata Knight Riders,164.0,20.0,120.0,8.2,,,,,164.0,120,136.67
2010,Match_127,Mumbai Indians,Delhi Daredevils,218.0,20.0,120.0,10.9,,,,,218.0,120,181.67
